,time,quality,runtime,full tour,all tours considered
Atlanta,300,3630532.301,300.0002084,yes,no
Berlin,300,19448.86367,300.0005016,yes,no
Boston,300,2227322.302,300.0007818,yes,no
Champaign,300,216440.1141,300.000854,yes,no
Cincinnati,300,277952.5865,49.8422029,yes,yes
Denver,300,562775.2901,300.0024614,yes,no
NYC,300,7239944.831,300.0012877,yes,no
Philadelphia,300,3710783.629,300.000417,yes,no
Roanoke,300,6849949.893,300.0456688,yes,no
SanFrancisco,300,5604791.912,300.0034251,yes,no
Toronto,300,9192019.766,300.0053091,yes,no
UKansasState,300,62962.31281,43.79735351,yes,yes
UMissouri,300,662949.1569,300.0030835,yes,no
